"Family","PC1","PC2","PC3","PC4","Pop","Tree","State","Region","Date","Latitude","Longitude","Elevation","DBH","Budbreak_2020","BudSet_2019","BudSet_2020","Growth","BudBreak_cGDD_plasticity","BudSet_2019_plasticity","BudSet_2020_plasticity","Growth_plasticity","TotalDry_plasticity","RootShoot_plasticity","SideBranch_MainStem_plasticity","Delta13Carbon_plasticity","Delta15Nitrogen_plasticity","PercentN_plasticity","CN_ratio_plasticity","TotalDry","RootShoot","SideBranch_MainStem","delta13C","delta15N","percentN","CN_ratio","q1","q2"
"BER_06",0.0620539822040315,-0.00673195741770657,0.00748691434493524,-0.0158038485374122,"BER",6,"ME","Core",11262017,44.68834,70.37627,496,14.3,665.5506097,237.5001661,214.4956448,27.71684187,31.33014519,2.467861771,5.593546876,1.023534845,1.005192906,0.004456054,0.161744329,0.127180544,0.632635722,0.046515055,0.017019539,22.70224471,-1.584492393,0.938464732,-31.40377136,2.750585358,1.631811723,30.46133797,0.8738731,0.1261269
"BFA_01",-0.0652620312494702,0.0221492168566067,0.0219694753097056,0.041745769083328,"BFA",1,"WV","Edge",9282017,38.4766,79.7229,1348,21.8,685.3499152,259.2543722,205.6098359,32.32157358,33.90154243,3.496301644,5.401862326,0.7655435,1.813122015,0.006559319,0.128410881,0.013688342,0.651799291,0.02253679,0.153101805,33.66207923,-1.577712823,0.822281783,-30.74782347,2.727069022,1.443305717,34.20422176,0.999806,0.000194
"BFA_02",-0.0645760378865891,0.0236942438917304,-0.0941759996950229,-0.0340691696229951,"BFA",2,"WV","Edge",9282017,38.47666,79.71849,1325,14.6,679.1820922,263.7716629,211.4356918,28.79430413,34.05035895,3.193169046,5.819741833,0.979412197,0.955842563,0.006102255,0.15131622,0.023125985,0.697039189,0.048649206,0.022060168,21.3265249,-1.616877574,0.86422254,-30.95725103,2.594687333,1.633219096,30.73216919,0.9998092,0.0001908
"BFA_03",-0.0702202336152631,0.0322430122613498,-0.0169033736714556,-0.0158074807234747,"BFA",3,"WV","Edge",9282017,38.47696,79.71696,1336,37.2,675.4102003,260.8727315,207.8577621,30.56068805,30.857286,3.361088933,5.970898155,0.892463609,0.786239498,0.014445168,0.131020357,0.030362411,0.767894132,0.043256994,0.024483802,18.59192019,-1.590814448,0.828290129,-30.91945845,2.504896664,1.609318163,30.65373314,0.9998086,0.0001914
"BFA_04",-0.0680324102150701,0.0117725798247856,0.0215190239425214,0.00884008880179294,"BFA",4,"WV","Edge",9282017,38.47797,79.7165,1333,21.6,676.7481239,256.0336259,207.600038,27.6946216,31.83173301,4.848495382,5.155230273,1.027123858,0.448829579,0.02578619,0.149754161,0.061983754,0.857268847,0.026972454,0.114817439,13.49514506,-1.613946737,0.875867969,-30.97649018,2.291226632,1.476759625,33.16892067,0.9887955,0.0112045
"BFA_05",-0.064807646845266,0.0144298304844703,0.0212308603344921,0.0130339113615279,"BFA",5,"WV","Edge",9282017,38.47892,79.71738,1328,65.6,664.6410597,272.2298162,213.3271223,31.78020594,30.52574509,2.909930752,6.173800864,0.789279378,1.113058721,0.008526615,0.153640851,0.144389969,0.716670325,0.031778987,0.095248207,22.83427257,-1.594095282,0.869592654,-31.07369214,2.563873659,1.508012122,32.6645144,0.991915,0.008085
"BLA_01",-0.0246236745072017,-0.107347939157132,-0.0219824854377473,0.0282952981834721,"BLA",1,"PA","Margin",9132017,41.11477,75.59536,475,48.1,662.2175465,249.1845782,205.6098359,34.34894016,26.79312212,2.899164713,5.704979395,0.634879169,2.186053948,0.013835281,0.120101502,0.093172437,0.665629257,0.029611279,0.110844841,39.3476733,-1.577307052,0.776101891,-31.01734053,2.686466539,1.503569985,33.04844138,0.8105237,0.1894763
"BLA_02",-0.0201439152779292,-0.14905492644969,-0.0161778428991058,0.0141987551546472,"BLA",2,"PA","Margin",9132017,41.11296,75.59274,499,25.3,675.9584813,249.6551293,215.0878624,37.47556136,30.87714903,3.505513283,5.900375702,0.450693225,3.540013998,0.009449559,0.114380431,0.052717316,0.686543761,0.032386594,0.131502873,57.07200491,-1.585440167,0.76704232,-30.77514447,2.6703889,1.52024194,33.65904322,0.7426,0.2574001
"BLA_03",-0.0409091030431624,-0.0601810714969908,-0.046557019936832,0.0104075549573497,"BLA",3,"PA","Margin",9132017,41.11094,75.58869,513,34.7,664.8769996,241.1538751,214.1512986,32.56463661,28.70267867,4.131406134,5.679982451,0.727168628,2.325629283,0.005223052,0.135406702,0.063776562,0.721091949,0.052861831,0.010547477,40.51216802,-1.580539686,0.829971886,-30.66268289,2.500101683,1.690129007,30.33946878,0.8632784,0.1367216
"BLA_04",-0.0216017904406227,-0.115638913755583,-0.0804560713174131,0.0121337632365846,"BLA",4,"PA","Margin",9132017,41.11113,75.58817,513,58.7,638.9877245,251.1821045,211.9784703,33.26560153,18.36310658,3.242867804,5.863464243,0.736960148,2.500496092,0.009646635,0.111609993,0.016095119,0.76080438,0.03664366,0.060316017,42.50244699,-1.556540903,0.748731804,-30.66380586,2.48201183,1.549457322,31.68399055,0.7711559,0.2288441
