"Family","q1","q2"
"BLA_03",0.8632784,0.1367216
"BLA_04",0.7711559,0.2288441
"BLA_05",0.7259678,0.2740322
"BRA_01",0.7961401,0.2038599
"BRA_02",0.8498237,0.1501763
"BRA_03",0.8440401,0.1559599
"BRA_04",0.844145,0.155855
"BRA_05",0.8357496,0.1642504
"BRU_02",0.4346521,0.5653479
"BRU_03",0.631585,0.368415
"BRU_04",0.6238123,0.3761877
"BRU_05",0.7142981,0.2857019
"BRU_06",0.6874238,0.3125762
"CRR_01",0.9221286,0.0778714
"CRR_02",0.9153877,0.0846122
"G13_01",0.8987762,0.1012238
"G13_02",0.8833356,0.1166644
"G13_03",0.9456643,0.0543357
"G13_04",0.9007091,0.0992909
"G13_05",0.9260772,0.0739228
"G18_01",0.8261329,0.1738671
"G18_02",0.8947234,0.1052766
"G18_03",0.839605,0.160395
"G57_01",0.8792627,0.1207373
"G57_02",0.8994577,0.1005423
"G57_03",0.9236824,0.0763176
"G57_04",0.9225647,0.0774353
"G57_05",0.9010457,0.0989543
"G57_06",0.8960661,0.1039338
"G57_07",0.9439138,0.0560862
"G57_08",0.8916391,0.1083609
"G57_09",0.930423,0.069577
"G57_10",0.896198,0.103802
"G57_11",0.895579,0.104421
"SPR_01",0.7793877,0.2206123
"SPR_02",0.6652389,0.3347611
"SPR_03",0.6812015,0.3187986
"SPR_04",0.7035178,0.2964822
"SPR_05",0.6944725,0.3055275
"XBM_02",0.6392206,0.3607794
"XBM_03",0.7375376,0.2624624
"XBM_04",0.6504091,0.3495909
"XBM_05",0.6529783,0.3470217
"XBM_06",0.665773,0.3342269
"XBM_07",0.6844012,0.3155988
"YRB_02",0.643002,0.356998
"YRB_03",0.6648677,0.3351323
"YRB_04",0.6916695,0.3083305
"AB_05",0.9997788,0.0002212
"AB_08",0.9998072,0.0001927
"AB_12",0.9998088,0.0001911
"AB_16",0.9974707,0.0025292
"AB_18",0.9997961,0.0002039
"BFA_01",0.999806,0.000194
"BFA_02",0.9998092,0.0001908
"BFA_03",0.9998086,0.0001914
"BFA_04",0.9887955,0.0112045
"BFA_05",0.991915,0.008085
"BRB_01",0.98531,0.01469
"BRB_02",0.99975,0.00025
"BRB_03",0.9992663,0.0007337
"BRB_04",0.9897448,0.0102551
"CR_03",0.9992083,0.0007917
"CR_04",0.9998063,0.0001937
"CR_05",0.999808,0.0001921
"CR_06",0.9998,2e-04
"CR_07",0.993621,0.006379
"CRA_01",0.999543,0.000457
"CRA_02",0.9952414,0.0047586
"CRA_03",0.9989535,0.0010466
"CRA_04",0.9916402,0.0083598
"CRA_05",0.9997997,0.0002003
"CRA_06",0.9997823,0.0002177
"DG_04",0.9997951,0.0002049
"DG_05",0.9964132,0.0035868
"DG_06",0.9998069,0.0001931
"DG_08",0.9998,2e-04
"DG_10",0.994092,0.005908
"GFM_48",0.999808,0.000192
"GFM_49",0.9979113,0.0020886
"GFM_50",0.9997908,0.0002091
"GFM_51",0.9880689,0.011931
"GFM_55",0.999801,0.0001989
"GPA_01",0.9998087,0.0001913
"GPA_02",0.9953465,0.0046535
"GPA_03",0.9998012,0.0001988
"GPA_04",0.999806,0.000194
"HR_03",0.999809,0.0001909
"HR_05",0.9997976,0.0002024
"HR_06",0.9968894,0.0031107
"HR_07",0.9998059,0.0001941
"HR_10",0.9948234,0.0051766
"KOS_01",0.9975366,0.0024634
"KOS_02",0.993576,0.006424
"KOS_03",0.9852622,0.0147379
"KOS_04",0.995402,0.004598
"KOS_05",0.9997983,0.0002017
"KOS_07",0.987369,0.012631
"MRC_02",0.999806,0.0001939
"MRC_07",0.9998081,0.0001919
"MRC_08",0.9998049,0.0001951
"MRC_16",0.9998063,0.0001937
"MRC_18",0.9903095,0.0096904
"MT_01",0.9923608,0.0076392
"MT_04",0.9998091,0.0001909
"MT_05",0.9968722,0.0031278
"MT_07",0.9987091,0.0012909
"MT_08",0.9998083,0.0001917
"MT_09",0.9959365,0.0040635
"MT_10",0.9991271,0.0008729
"MT_12",0.9998044,0.0001956
"PRK_01",0.9903003,0.0096997
"PRK_02",0.9873948,0.0126053
"PRK_03",0.9935349,0.0064652
"PRK_04",0.9998012,0.0001988
"PRK_05",0.9992387,0.0007613
"RP_01",0.9998088,0.0001912
"RP_03",0.9961087,0.0038913
"RP_05",0.98246,0.0175401
"RP_06",0.9998068,0.0001932
"RP_11",0.9997981,0.0002019
"WA_412",0.9998059,0.0001941
"WA_414",0.9998084,0.0001915
"WA_416",0.9997929,0.0002071
"WA_418",0.9840516,0.0159483
"WA_419",0.9989704,0.0010296
"XCS_01",0.9852647,0.0147353
"XCS_03",0.9765486,0.0234514
"XDS_01",0.9830089,0.0169912
"XDS_02",0.9998091,0.0001908
"XDS_03",0.97842,0.02158
"XDS_04",0.9993236,0.0006764
"XDS_05",0.9861861,0.0138138
"XDS_06",0.9983633,0.0016367
"XFS_01",0.9890695,0.0109305
"XFS_02",0.993122,0.0068779
"XFS_03",0.9998079,0.0001921
"XGL_02",0.9724414,0.0275586
"XGL_03",0.9749311,0.0250689
"XGL_04",0.9836289,0.0163711
"XGL_05",0.9260442,0.0739559
"XPK_01",0.9998087,0.0001912
"XPK_02",0.9998015,0.0001985
"XPK_03",0.9998088,0.0001912
"XPK_04",0.9898905,0.0101095
"XSK_01",0.9954747,0.0045253
"XSK_02",0.9867747,0.0132253
"XSK_05",0.9964406,0.0035593
"XWS_03",0.999809,0.0001909
"XWS_05",0.9945641,0.005436
"XWS_06",0.945741,0.054259
"MN1_1",0.0034922,0.9965078
"MN1_2",1e-04,0.9999
"MN1_3",0.0001941,0.9998059
"MN1_5",0.0017875,0.9982125
"MN2_1",0.003655,0.996345
"MN2_2",0.0056911,0.9943089
"MN2_3",0.0022359,0.9977641
"MN2_4",1e-04,0.9999
"MN2_5",1e-04,0.9999
"WISC_10",1e-04,0.9999
"WISC_1",1e-04,0.9999
"WISC_2",1e-04,0.9999
"WISC_4",1e-04,0.9999
"WISC_5",1e-04,0.9999
"WISC_6",1e-04,0.9999
"WISC_7",1e-04,0.9999
"WISC_8",1e-04,0.9999
"WISC_9",1e-04,0.9999
